text,label_true,label_pre
-伯乐识马张咏梅进戏校一年后，越剧前辈名家袁雪芬把方亚芬和张咏梅召唤到其家中作客．听她俩清唱后给予亲,合作,unknown
赖亚文与陈忠和外表严肃的温柔女人训练场上的赖亚文经常板着那张本来已经很,父母,父母
笑林把本子拿去给师傅看了，马季的意见很明确：你应该用方言来表演，效果会更好。,兄弟姐妹,unknown
唐太宗-经历李治与唐高宗嫡长子太子李承乾、嫡次子魏王李泰为长孙皇后所生同母兄弟。,父母,父母
关于梦鸽19岁的质疑，有媒体联系其母亲李天一。,unknown,unknown
吕惠如任南京女子师范学校校长，吕美荪任奉天女子师范学校校长，吕碧城任天津女子师范学校校长，吕坤秀任厦,父母,父母
[今安徽毫州]，容貌：容貌姿美，官至：邓王聽谥曰哀，父亲曹操，母亲环夫人，曹冲，（196年－208年,unknown,unknown
周杰伦、罗志祥、王力宏、林俊杰聽聽聽亚洲四小天王聽赵晨浩、允浩、吴尊、郑韩庚新四大天王周杰伦、罗志祥,师生,师生
-家庭背景张艾嘉与儿子王靖雄父亲：王令尘聽母亲：张艾嘉张艾嘉的首任丈夫刘幼林，曾任美联社驻港分社,父母,父母
-开房事件女友维护许玮宁（小天）和女友阮经天2010年2月28日阮经天带女子在台中进饭店开房7小时，,夫妻,夫妻
同年高盛麟拜丁永利为师“九一八”事变后，高庆奎以其忧国思想编演了很多爱国新戏。,夫妻,夫妻
结婚，曹睿是否为曹家的骨肉，很值得怀疑，甄洛以此事询问甄氏，曹丕对曹丕宠爱新欢郭氏和李贵人、阴贵人等,夫妻,夫妻
-家庭王应伟和夫人顾又芬父亲王大珩是一位早年留学日本的天文与气象学家，辛亥革命后回国，先后在北,合作,合作
其中两位“一身贵气”的名媛代表是中共顶级太子党──人大委员长万里的孙女万宝宝和中共元帅叶剑英元帅的孙,夫妻,夫妻
如今（2013年）景岗山和马葭已经结婚15年了，是娱乐圈业内外公认的“模范情侣”。,unknown,unknown
但是当年郑伊健被指是梁咏琪和邵美琪的第三者，但郑经理人林珊珊指该事件属一场误会，此事件,父母,父母
败后，准备南逃广州另立中央的计划也随之败露，9月13日凌晨，叶群同林彪、林立果，在山海关机场强行驾机,unknown,unknown
母亲：秦厚修二姐：马乃西三姐：马冰如妹妹：马莉君马唯中夫人周美青与女儿马英九、马元中妻子：周美青，毕,兄弟姐妹,兄弟姐妹
毕淑敏-人物简介芦淼与母亲芦淼芦淼，男，1978年生于北京。,unknown,unknown
妻子]-王军霞眼中的赵本山奥运会冠军王军霞和小品演员马丽娟都住在沈阳的信盟花园，两家之间只隔着一条甬,夫妻,夫妻
外围消息佟大为与关悦婚典花费一部电视剧报酬记者从一位圈内人士处了解到，虽然佟,unknown,unknown
-感情经历邓丽君、成龙邓丽君一生的感情经历可以用“坎坷”二字来形容，她先后交往过,合作,合作
师傅、韩师傅、鲁师傅等人陆续从水中救起6名大学生，而陈及时、方招、何东旭等3名大学生却消失在湍急的江,unknown,unknown
虽无意打探名人的隐私，只是觉得为高曙光与江珊劳燕分飞而深感惋惜。,祖孙,祖孙
[1]王尔晴-综述敬一丹敬一丹与丈夫王梓木向来低调的敬一丹和丈夫王梓木结婚多年来,父母,父母
这七代是：谭志道——谭鑫培——谭小培——谭孝曾——谭元寿——谭富英——谭正岩。,夫妻,夫妻
一家三口全家福2012年6月5日，丁子高诞下一子备受关注，据悉，杨千嬅9日便秘密将杨千嬅及爱子接出院,父母,父母
、梁醒波、靓次伯、苏少棠47穿金宝扇（1959）白雪仙、任剑辉、半日安、李香琴48三年一哭二郎桥（1,unknown,unknown
龄聽妹妹马云英聽妻子秦厚修聽儿子马英九聽女儿马以南、马鹤凌、马冰如和马莉君[3]马乃西-著作《“王道,兄弟姐妹,兄弟姐妹
-习武生涯梁璧是咏春派佛山梁赞之长子，梁春的哥哥，自小望从父中学习咏春拳，但其父亲见其不务,父母,兄弟姐妹
生四子、二女共六个孩子，他们是：五子袁克权、七子袁克齐、十子袁克坚、十二子袁克度和长女袁伯祯、六女袁,夫妻,夫妻
、白雪仙、苏少棠、半日安46紫钗记（1959）任剑辉、白雪仙、梁醒波、靓次伯、苏少棠47穿金宝扇（1,父母,父母
-拍挡评价杨维和张洁雯的“恋爱”从01开始：她是最适合的人张洁雯至今都还记得第一次,兄弟姐妹,兄弟姐妹
、吴君丽、梁醒波、欧阳俭39一张白纸告亲夫（1961）靓次伯、吴君丽、欧阳俭、任剑辉40万里烽烟寻妹,unknown,unknown
"史学教授，1941年冬，太平洋战争爆发,燕京大学被封闭,与邓之诚洪煨莲等同被日本军逮捕入狱，翌年获释",夫妻,夫妻
：台湾大学医学院牙医硕士父亲：陈水扁母亲：吴淑珍丈夫：赵建铭儿子：赵翊安，赵翊廷，赵翊佑陈幸妤-个人,父母,父母
玄彬与宋慧乔3月初发分手声明的同时，传出玄彬与汤唯因《晚秋》互生好感，由,上下级,unknown
侯耀华[侯军之子]侯耀华之子]-简介侯军侯军，男。,情侣,情侣
1917年，孙科和陈淑英回到广州，随后陈带着两个儿子回到翠亨村，照顾婆婆。,unknown,unknown
”阴霾散去之后，众多遭到迫害的艺术家重新走上了舞台，相声大师侯宝林是其中最受欢迎的一位，侯耀华的弟弟,情侣,情侣
万历三十五年(1607)三月，舒尔哈齐、褚英、代善、费英东、扈尔汉、扬古利等率兵三千，往接蜚优城归顺,unknown,unknown
聽战争的特殊环境，使唐棣华几乎是经常换地方，黄克诚也习惯了这种奔波的生活。,父母,父母
不到九个月，便生下了一个白白胖胖的儿子，虽然夏姬有些怀疑，但是惑于夏御叔的美貌，也无暇深究。,情侣,情侣
窗（1955）张瑛、马师曾、容小意、紫罗莲、吴楚帆、白雪仙、任剑辉、李清、红线女、芳艳芬、梅绮、卢敦,unknown,unknown
家林编剧：常万生、张笑天演员表张铁林饰汉成帝赵明明饰赵飞燕袁立饰赵合德李建群饰班婕妤戴春荣饰许皇后高,父母,父母
硬柿子剧组《王牌大明星》当痞子遇见英雄来宾：周渝民陈意涵赵又廷(2009年3月30日)《康熙来了》周,unknown,父母
、罗艳卿、任剑辉19西河会妻（1960）梁醒波、罗艳卿、靓次伯、陈锦棠20琴误挑(上集)（1960）,好友,好友
主要演员有范瑞娟、袁雪芬、吴小楼、吕瑞英等。,同门,同门
出席的名家有景荣庆、刘雪涛、李金鸿、刘长瑜、孙毓敏、沈健瑾、李光、李维康、耿其昌、黄孝慈等。,夫妻,夫妻
马葭不仅因为她是景岗山的妻子，更是李亚鹏的经纪人和王菲的“闺蜜”。,夫妻,夫妻
学校学习，在校期间经刘中石先生亲授梅派代表剧《宇宙锋》，后经李经文老师精心指点，使杨荣环对人物情感的,夫妻,夫妻
-人物介绍赵忠尧中国核物理学先驱，中科院院士赵维仁的儿子赵维仁先生，1945年4月出生，诸暨市暨阳街,同门,夫妻
弟子王军霞“马家军”指马俊仁在辽宁省田径队女子中长跑组训练的一批女子中长跑运动员，包括王,父母,父母
1986年，是孙中山先生诞辰120周年，邓颖超向孙穗芬郑重发出邀请，请她和女儿蓝妮回国参加孙中山先生,情侣,情侣
聽聽直奉联合时期吴佩孚（前排右二）与张宗昌、张学良、张作霖（前排右一）等合影1904年光绪三十年29,兄弟姐妹,兄弟姐妹
儿子和女儿都各自成家立业，但孙子和外孙却住在他家里，因为迟浩田和姜青萍都喜欢孩子，喜欢热闹。,夫妻,夫妻
1948年2月28日出生在美国密苏里州的圣路易斯，朱棣文1997年结婚，夫人吉恩（Jean）也是物理,父母,父母
志森导演的“开心鬼”便是人鬼欢欣地结合的喜剧，影片描写菁菁（林珊珊饰）与小花（李丽珍饰）、如玉（罗明,夫妻,夫妻
，她最初是张国荣的忠心歌迷，不喜欢听朱咏婷的歌，但当两人相识后，谭咏麟对他有很大改观，给了他很大支持,父母,父母
初以长子刘琦之相貌与自己甚为相像，十分宠爱他，但后来刘表次子刘琮娶表后妻蔡氏之侄女为妻，蔡氏因此爱刘,unknown,unknown
百纳影视有限公司上海金德影业有限公司主要演员陈宝国饰演汉景帝焦晃饰演汉武帝归亚蕾饰演窦太后林静饰演卫,兄弟姐妹,兄弟姐妹
-钱永健钱学森是钱学森的堂侄。,夫妻,夫妻
省南昌市进贤县人现居地：北京市大兴区父亲：陶国平母亲：陶阳姐姐：陶俊义父：郭德刚龙叶凤-星路历程陶阳,unknown,unknown
运会男子10米气手枪个人（684.5环）、团体（1743环，谭宗亮、庞伟和蒲琪峰）亚军[2]2011,情侣,情侣
1936年，农历丙子年：毛世来收李世芳、梅兰芳、张世孝、刘元彤为徒；,兄弟姐妹,兄弟姐妹
臣、侯一尘、赵霭如、刘德智、于俊波、郭荣启、刘宝瑞、张杰尧、常宝霖、常宝堃、赵佩茹、孙玉奎、吉文贞、,夫妻,夫妻
代善与褚英是她的同母弟弟。,兄弟姐妹,兄弟姐妹
翟志刚和张淑静结婚17年来，瑟瑟和谐，珠联璧合，是周围人眼中公认的模范夫妻,unknown,unknown
、梁醒波、少新权33七世姻缘（1955）新马师曾、芳艳芬、任剑辉、白雪仙34佛前姊妹花（1955）任,夫妻,夫妻
京德云社演出相声，演员包括郭德纲、于谦、李菁、高峰、何云伟、曹云金、刘云天、栾云平、岳云鹏等，段子包,unknown,unknown
越级称长公主，唐代司马贞在《史记索隐》对此的解释是“卫长公主之子曰卫太子，女曰卫子夫。,亲戚,亲戚
不得不离乡而去…霍元甲偕徒陈真、刘振声避走天津，与赵倩男再度重逢，两人亦因家族仇恨经已化解，遂拨开,兄弟姐妹,兄弟姐妹
二是陈寿是褒扬曹操和袁术这一边，而袁绍当时与袁绍、曹操敌对。,兄弟姐妹,兄弟姐妹
莫文骅检查部队工作回来后不久，突然毛泽东派人把他叫了去。,夫妻,夫妻
被打，又有传谢天华老婆因胃痛入院，甚至传李天恩因谢天华再传绯闻而自杀被送入院。,父母,父母
郭彦甫被爆与选美小姐陈贞均交往期间又网交劈2女，郭彦甫在与哥哥郭彦均一起上TVBS欢乐,unknown,unknown
来津后一直吃住在黄志红家，张丽也说她和张丽从来不分彼此。,夫妻,夫妻
聽演出剧目聽《状元媒》（刘雪涛，陈少霖，张君秋，黄元庆，马长礼，郝庆海，刘永利，翟韵奎，蒋元荣，张洪,父母,父母
秦祥林导演：洪金宝监制：何冠昌武术指导：洪金宝、元华、成龙《夏日福星》(1985)主演：元彪、刘德华,unknown,unknown
日晚8时许，陈宝珠多名亲友陆续到来捧场，包括胞妹陈宝仪及妹夫罗乐林，其年届98岁高龄的母亲宫粉红，虽,夫妻,unknown
黄宗泽、马国明、陈键锋、佘诗曼、林峯林峰、吴卓羲、姚子羚、叶璇等胡杏儿-主要作品影视作品胡杏儿《换乐,unknown,unknown
但是，不管刘邦如何欺骗项羽，鸿沟议和终于使吕雉回到了汉营。,unknown,unknown
改革开放初期，刘永行、陈育新(刘永美)、刘永言、刘永好四兄弟以常人难有的勇气脱下“公服”，当起了专业,父母,父母
演出剧目《定军山·阳平关》（谭元寿、谭孝曾、谭正岩、王平、杜镇杰、徐尚宾分饰黄忠，尚长荣饰曹操）20,夫妻,夫妻
凤、袁雪芬、马樟花、徐玉兰、赵瑞花、竺素娥、邢竹琴、范瑞娟、竺水招、尹桂芳、姚水娟、李艳芳等演员。,unknown,父母
就在王昭君抵达匈奴王庭三个月后，汉元帝在思念与懊恼的前提下，恹恹病榻，拖到初夏时节，竟在榴花耀眼中,unknown,unknown
计划既定，马鸿宾派马福祥为先遣军，行至中卫，有马福祥之掌案(相当于军需处长)兰州人何,父母,父母
-人物信息姓名：武修文父母：武三通、武三娘师傅：郭靖哥哥：武敦儒妻子：完颜萍后代：,unknown,unknown
“热力兄弟”加盟“激浪精舞门潮流派对”亚洲四小天王韩庚吴尊赵晨浩郑允浩和四大天王刘德华黎明郭富城张学,祖孙,祖孙
"与小“Y”的文学浪漫之梦聽聽聽聽聽聽聽聽聽聽李敖喜获麟儿李戡后,与妻子小屯之全家福李敖和小Y的交情，",夫妻,夫妻
《大保镖》表演：郑福山、刘文步《单刀会》表演：刘文步、郑福山《口吐莲花》表演：刘文,兄弟姐妹,兄弟姐妹
凤凰女、陆飞鸿、谭兰卿27观音得道香花山大贺寿（1966）白雪仙、任剑辉、凤凰女、林家声与红线女：1,合作,合作
-家庭左起：威廉王子王妃、哈里王子、戴安娜和查尔斯王储威廉王子的祖先，不论是母系还是父系，都可上溯到,父母,情侣
和庄泳各人有各人的事业，沈坚强经营着沈坚强游泳俱乐部，而庄泳则打理着郁金香广告公司，虽然两,unknown,unknown
领取结婚证赵亮和胡敬有着一段奇妙的恋爱史。,夫妻,夫妻
《假灶王》表演者：刘宝瑞、李文华《如此照相》表演者：姜昆、李文华《谈情说爱》表演者：姜昆、李文华《爱,合作,合作
梅兰芳的幼子梅葆玖致力于梅派艺术的传承和发展，培养了李胜素、董圆圆、张晶等梅派,兄弟姐妹,兄弟姐妹
在天京军民的支持下，洪秀全捕杀了韦昌辉及秦日纲。,夫妻,夫妻
郭守正（左起）、郭台铭母亲郭晓玲、郭董、初永真、曹斯杰举杯同庆。,夫妻,夫妻
赵合德被册立为皇后，赵飞燕也被封为昭仪，两人并得宠幸，权倾后宫。,上下级,上下级
犬夜叉虽然出场不多，但确实是位贯穿《杀生丸》故事主线的重要人物，并且他以后的出场，往往都是关键时刻。,unknown,unknown
在《一箭仇》中，盖叫天饰史文恭，张翼鹏饰武松，张二鹏饰燕青，父子三人珠联璧合，开打配合默契，赢得了,上下级,上下级
-匈奴刘氏刘胤刘曜生有9个儿子，均被封为王侯：刘熙封皇太子，刘袭封长乐王，刘阐封太原王；,unknown,unknown
也有过两期的合作，孙明珠先生的父亲赵筱楼老先生与赵燕侠先生的父亲孙柏龄老先生是磕头把兄弟。,unknown,unknown
1898年9月28日，谭嗣同、杨锐、林旭、刘光第、康广仁、杨深秀等六人惨害于北京菜市口。,情侣,情侣
洪金宝感慨他说：“我喜欢钱似莺，因为他小时候吃了不少苦！,合作,合作
细心的周总理发现，杨振宁在喊曹秀清时称「妈妈」，而对杜聿明则称“杜先生”，便纠正说：“应该称岳父大人,师生,师生
、郝爱民、于世猷《开场小唱》郭全宝、刘宝瑞、侯宝林、郭启儒《卖马》刘宝瑞、侯宝林、高凤山《扒马,情侣,情侣
卿、陈宝珠、靓次伯与余丽珍：1帝苑春心化杜鹃（1951）任剑辉、余丽珍、薛觉先、马师曾2真假武潘安（,合作,合作
”曹仁认为可行，派曹操率骑兵攻打刘备，刘备大败逃走，并进一步平定多个县城军而还。,夫妻,夫妻
刘邦对楚汉战争的贡献是他为吕雉做了两年零四个月的人质。,父母,父母
郑咏恩与郑少秋育有2个女儿，官晶华、郑咏曦。,unknown,unknown
赵括起初有些恼怒，认为赵奢口出狂言，便决定以后再出征的时候，将赵括带在身边，希望让残酷,兄弟姐妹,兄弟姐妹
为曹操所赏识，与典韦一同统领虎卫军，伴曹操南征北战，许褚面容素呆滞，但征战英勇，所以得号“虎痴”。,父母,父母
抗战时，重庆曾经发生过河南人郑绍发冒认宗亲的事，此人到处说蒋介石为河南人，改嫁奉化，王采玉是他的同母,夫妻,夫妻
而后曹茂被屡次增邑至五千户，在曹操诸子中仅次于极受明帝宠信几乎被托孤的曹宇，也算得一个异数,合作,合作
"主要包括袁和平、袁祥仁、袁日初、袁振洋、袁信义、袁龙驹、袁振威兄弟,另甄子丹是袁和平一手带红的也算在",unknown,unknown
演员有姜昆、戴志诚、赵炎、周炜、王谦祥、李增瑞、徐惠民、邱胜扬等。,父母,父母
[2]传包养艺人何超云陈山聪和陈山聪2011年3月10日，香港赌王何鸿燊女儿何超云被传与无线三线,unknown,unknown
2009年28岁的林孝贤长子林建岳昔日泡吧爱玩，自被父亲钦点出任集团要职后，便收心学做生意，工,unknown,unknown
微博曝光旧情2011年1月17日，汪峰发微博斥责前男友葛荟婕虚伪，并爆料汪峰带两人所生的5岁女儿去做,情侣,情侣
结婚时的照片由于邵华的姐姐刘思齐是毛岸青的哥哥毛岸英的妻子，所以在邵华还是个小孩子的时候就认识了毛岸,祖孙,祖孙
2007年年底，《财经》杂志一篇报道公开了官方对黄俊钦“新恒基系”和黄光裕“鹏润系”的调查事宜，揭开,unknown,unknown
曹植即位后不久，曾屡欲杀曹丕，被母所阻，方得免；,unknown,unknown
朱安去世后一年，许广平在一篇散文里写道：“鲁迅原先有一位夫人朱氏……她名‘安’，她的母家长辈叫她‘安,unknown,unknown
据说，当时孙科不仅没有替蓝妮辩解，为撇清自己，甚至将事情全推到蓝妮身上，还在背后做了些小,父母,父母
巩汉林-与巩天阔巩汉林、金珠、巩天阔巩天阔是巩汉林的宝贝儿子。,亲戚,亲戚
房不俗，又凭《金山》斩获“罗马影后”，事业相当自得，但一谈到邓超，孙俪马上脸色大变，闭口不谈，似乎间,合作,合作
财富2007年在《福布斯》亚洲版2007年中国富豪榜上，杨国强——碧桂园创始人之一杨惠妍26岁的女儿,unknown,unknown
剧团已很难维持一枝独秀的局面，邵滨孙和石筱英组建中艺沪剧团，杨飞飞和解洪元、顾月珍成立上艺沪剧团，丁,unknown,unknown
原来于师傅在一次京剧表演中，选了元龙、元楼、元彪、元奎、元华、元武、元泰七人担任《七小福》的主角（注,unknown,unknown
高雪樵-经历幼时随父高俊亭、长兄高月秋在北京学京剧武生。,师生,师生
王烁早有一个儿子名为王志才，据称是京城四少之一，很少被媒体拍到。,师生,师生
当时，慈安皇太后拟选崇绮之女阿鲁特氏，慈禧却因阿鲁特氏是咸丰皇帝遗命辅政的八大臣之一、后被赐死的郑亲,父母,父母
）《熊猫咪咪》（陈建斌）《我只在乎你》（蒋勤勤、蒋勤勤）《隐形的翅膀》（蒋勤勤、王艳、梅婷、赵琳）《,父母,父母
十四年，以傅恒子大学士李荣保经略金川功，敕建宗祠，祀哈什屯、米思翰、李荣保，并追谥李荣保,父母,父母
聽聽公元209年（建安十四年）聽周瑜打败曹仁，孙权任周瑜为南郡太守。,unknown,unknown
1957年12月，杨振宁与杜致礼同行，参加瑞典斯德哥尔摩诺贝尔奖颁奖仪式。,unknown,unknown
对口相声《西江月》（徐德亮，王文林）对口相声《黄鹤楼》（刘云天，曹云金）对口相声《卖春联》（高峰，栾,夫妻,夫妻
聽聽谷开来与陈晓丹聽聽薄瓜瓜聽聽薄瓜瓜与薄瓜瓜聽聽,兄弟姐妹,兄弟姐妹
宋远桥慈和、俞莲舟严肃、俞岱岩精练、张松溪机智、张翠山懦雅、莫声谷刚直，最稚气软弱的是排六的殷梨亭。,unknown,unknown
一天，程砚秋请唐在炘给李世济吊吊嗓子。,合作,合作
